ECG Signal,Q-Point,R-Peak,S-Point,P-Wave Start,P-Wave Peak,P-Wave End,T-Wave Start,T-Wave Peak,T-Wave End
24.98,0,0,0,0,0,0,0,0,0
26.887,0,0,0,0,0,0,0,0,0
28.468,0,0,0,0,0,0,0,0,0
29.879,0,0,0,0,0,0,0,0,0
31.134,0,0,0,0,0,0,0,0,0
32.178,0,0,0,0,0,0,0,0,0
33.465,0,0,0,0,0,0,0,0,0
35.642,0,0,0,0,0,0,0,0,0
38.982,0,0,0,0,0,0,0,0,0
43.83,0,0,0,0,0,0,0,0,0
49.492,0,0,0,0,0,0,0,0,0
54.712,0,0,0,0,0,0,0,0,0
59.775,0,0,0,0,0,0,0,0,0
64.751,0,0,0,0,0,0,0,0,0
70.378,0,0,0,0,0,0,0,0,0
77.959,0,0,0,0,0,0,0,0,0
85.965,0,0,0,0,0,0,0,0,0
92.343,0,0,0,0,0,0,0,0,0
94.278,0,0,0,0,1,0,0,0,0
88.334,0,0,0,0,0,0,0,0,0
74.432,0,0,0,0,0,0,0,0,0
55.225,0,0,0,0,0,0,0,0,0
36.129,0,0,0,0,0,0,0,0,0
23.596,0,0,0,0,0,0,0,0,0
21.288,0,0,0,0,0,0,0,0,0
28.454,0,0,0,0,0,0,0,0,0
40.092,0,0,0,0,0,0,0,0,0
50.627,0,0,0,0,0,0,0,0,0
56.252,0,0,0,0,0,0,0,0,0
56.756,0,0,0,0,0,0,0,0,0
54.92,0,0,0,0,0,0,0,0,0
52.642,0,0,0,0,0,0,0,0,0
50.918,0,0,0,0,0,0,0,0,0
49.448,0,0,0,0,0,0,0,0,0
46.99,0,0,0,0,0,0,0,0,0
43.62,0,0,0,0,0,0,0,0,0
39.749,0,0,0,0,0,0,0,0,0
35.589,0,0,0,0,0,0,0,0,0
31.535,0,0,0,0,0,0,0,0,0
27.579,0,0,0,0,0,0,0,0,0
23.613,0,0,0,0,0,0,0,0,0
19.84,0,0,0,0,0,0,0,0,0
16.302,0,0,0,0,0,0,0,0,0
12.819,0,0,0,0,0,0,0,0,0
9.3,0,0,0,0,0,0,0,0,0
5.674,0,0,0,0,0,0,0,0,0
1.953,0,0,0,0,0,0,0,0,0
-1.703,0,0,0,0,0,0,0,0,0
-5.197,0,0,0,0,0,0,0,0,0
-8.509,0,0,0,0,0,0,0,0,0
-11.603,0,0,0,0,0,0,0,0,0
-14.442,0,0,0,0,0,0,0,0,0
-16.991,0,0,0,0,0,0,0,0,0
-19.208,0,0,0,0,0,0,0,0,0
-21.091,0,0,0,0,0,0,0,0,0
-22.654,0,0,0,0,0,0,0,0,0
-23.903,0,0,0,0,0,0,0,0,0
-24.84,0,0,0,0,0,0,0,0,0
-25.454,0,0,0,0,0,0,0,0,0
-25.742,0,0,0,0,0,0,0,0,0
-25.736,0,0,0,0,0,1,0,0,0
-25.484,0,0,0,0,0,0,0,0,0
-25.057,0,0,0,0,0,0,0,0,0
-24.542,0,0,0,0,0,0,0,0,0
-24.013,0,0,0,0,0,0,0,0,0
-23.557,0,0,0,0,0,0,0,0,0
-23.281,0,0,0,0,0,0,0,0,0
-23.269,0,0,0,0,0,0,0,0,0
-23.595,0,0,0,0,0,0,0,0,0
-24.322,0,0,0,0,0,0,0,0,0
-25.462,0,0,0,0,0,0,0,0,0
-27.063,0,0,0,0,0,0,0,0,0
-29.202,0,0,0,0,0,0,0,0,0
-31.906,0,0,0,0,0,0,0,0,0
-35.164,0,0,0,0,0,0,0,0,0
-38.861,0,0,0,0,0,0,0,0,0
-42.748,0,0,0,0,0,0,0,0,0
-46.548,0,0,0,0,0,0,0,0,0
-50.007,0,0,0,0,0,0,0,0,0
-52.812,0,0,0,0,0,0,0,0,0
-54.615,0,0,0,0,0,0,0,0,0
-55.125,0,0,0,0,0,0,0,0,0
-54.17,0,0,0,0,0,0,0,0,0
-51.895,0,0,0,0,0,0,0,0,0
-48.769,0,0,0,0,0,0,0,0,0
-45.344,0,0,0,0,0,0,0,0,0
-42.141,0,0,0,0,0,0,0,0,0
-39.603,0,0,0,0,0,0,0,0,0
-38.167,0,0,0,0,0,0,0,0,0
-38.187,0,0,0,0,0,0,0,0,0
-39.68,0,0,0,0,0,0,0,0,0
-42.036,0,0,0,0,0,0,0,0,0
-44.078,0,0,0,0,0,0,0,0,0
-44.329,1,0,0,0,0,0,0,0,0
-41.188,0,0,0,0,0,0,0,0,0
-33.149,0,0,0,0,0,0,0,0,0
-18.606,0,0,0,0,0,0,0,0,0
4.163,0,0,0,0,0,0,0,0,0
35.786,0,0,0,0,0,0,0,0,0
74.994,0,0,0,0,0,0,0,0,0
119.732,0,0,0,0,0,0,0,0,0
167.501,0,0,0,0,0,0,0,0,0
217.392,0,0,0,0,0,0,0,0,0
271.857,0,0,0,0,0,0,0,0,0
331.961,0,0,0,0,0,0,0,0,0
394.769,0,0,0,0,0,0,0,0,0
452.755,0,0,0,0,0,0,0,0,0
492.308,0,0,0,0,0,0,0,0,0
501.67,0,1,0,0,0,0,0,0,0
477.919,0,0,0,0,0,0,0,0,0
424.712,0,0,0,0,0,0,0,0,0
352.835,0,0,0,0,0,0,0,0,0
274.359,0,0,0,0,0,0,0,0,0
194.013,0,0,0,0,0,0,0,0,0
115.057,0,0,0,0,0,0,0,0,0
40.138,0,0,0,0,0,0,0,0,0
-29.42,0,0,0,0,0,0,0,0,0
-87.46,0,0,0,0,0,0,0,0,0
-130.638,0,0,0,0,0,0,0,0,0
-161.009,0,0,0,0,0,0,0,0,0
-180.034,0,0,0,0,0,0,0,0,0
-191.722,0,0,0,0,0,0,0,0,0
-198.231,0,0,1,0,0,0,0,0,0
-197.098,0,0,0,0,0,0,0,0,0
-187.73,0,0,0,0,0,0,0,0,0
-170.724,0,0,0,0,0,0,0,0,0
-147.498,0,0,0,0,0,0,0,0,0
-121.462,0,0,0,0,0,0,0,0,0
-95.27,0,0,0,0,0,0,0,0,0
-70.365,0,0,0,0,0,0,0,0,0
-48.165,0,0,0,0,0,0,0,0,0
-30.051,0,0,0,0,0,0,0,0,0
-17.026,0,0,0,0,0,0,0,0,0
-8.776,0,0,0,0,0,0,0,0,0
-4.595,0,0,0,0,0,0,0,0,0
-4.558,0,0,0,0,0,0,0,0,0
-7.827,0,0,0,0,0,0,0,0,0
-15.03,0,0,0,0,0,0,0,0,0
-26.742,0,0,0,0,0,0,0,0,0
-39.246,0,0,0,0,0,0,0,0,0
-50.141,0,0,0,0,0,0,0,0,0
-56.866,0,0,0,0,0,0,0,0,0
-56.401,0,0,0,0,0,0,0,0,0
-51.498,0,0,0,0,0,0,0,0,0
-44.711,0,0,0,0,0,0,0,0,0
-37.861,0,0,0,0,0,0,0,0,0
-34.044,0,0,0,0,0,0,0,0,0
-32.513,0,0,0,0,0,0,0,0,0
-32.069,0,0,0,0,0,0,0,0,0
-32.695,0,0,0,0,0,0,0,0,0
-33.505,0,0,0,0,0,0,0,0,0
-34.719,0,0,0,0,0,0,0,0,0
-36.854,0,0,0,0,0,0,0,0,0
-39.611,0,0,0,0,0,0,0,0,0
-42.429,0,0,0,0,0,0,0,0,0
-45.466,0,0,0,0,0,0,0,0,0
-49.074,0,0,0,0,0,0,0,0,0
-52.271,0,0,0,0,0,0,0,0,0
-54.788,0,0,0,0,0,0,0,0,0
-55.159,0,0,0,0,0,0,0,0,0
-50.754,0,0,0,0,0,0,0,0,0
-43.326,0,0,0,0,0,0,0,0,0
-35.295,0,0,0,0,0,0,0,0,0
-29.237,0,0,0,0,0,0,0,0,0
-29.857,0,0,0,0,0,0,0,0,0
-36.257,0,0,0,0,0,0,0,0,0
-44.103,0,0,0,0,0,0,0,0,0
-50.499,0,0,0,0,0,0,0,0,0
-50.844,0,0,0,0,0,0,0,0,0
-44.323,0,0,0,0,0,0,0,0,0
-35.343,0,0,0,0,0,0,0,0,0
-26.436,0,0,0,0,0,0,0,0,0
-20.217,0,0,0,0,0,0,0,0,0
-18.378,0,0,0,0,0,0,0,0,0
-18.383,0,0,0,0,0,0,0,0,0
-18.703,0,0,0,0,0,0,0,0,0
-18.85,0,0,0,0,0,0,1,0,0
-17.844,0,0,0,0,0,0,0,0,0
-16.461,0,0,0,0,0,0,0,0,0
-15.363,0,0,0,0,0,0,0,0,0
-14.301,0,0,0,0,0,0,0,0,0
-13.39,0,0,0,0,0,0,0,0,0
-12.562,0,0,0,0,0,0,0,0,0
-11.624,0,0,0,0,0,0,0,0,0
-10.66,0,0,0,0,0,0,0,0,0
-9.744,0,0,0,0,0,0,0,0,0
-8.841,0,0,0,0,0,0,0,0,0
-7.948,0,0,0,0,0,0,0,0,0
-7.087,0,0,0,0,0,0,0,0,0
-6.24,0,0,0,0,0,0,0,0,0
-5.39,0,0,0,0,0,0,0,0,0
-4.54,0,0,0,0,0,0,0,0,0
-3.671,0,0,0,0,0,0,0,0,0
-2.76,0,0,0,0,0,0,0,0,0
-1.812,0,0,0,0,0,0,0,0,0
-0.822,0,0,0,0,0,0,0,0,0
0.217,0,0,0,0,0,0,0,0,0
1.302,0,0,0,0,0,0,0,0,0
2.435,0,0,0,0,0,0,0,0,0
3.622,0,0,0,0,0,0,0,0,0
4.866,0,0,0,0,0,0,0,0,0
6.173,0,0,0,0,0,0,0,0,0
7.554,0,0,0,0,0,0,0,0,0
9.021,0,0,0,0,0,0,0,0,0
10.595,0,0,0,0,0,0,0,0,0
12.296,0,0,0,0,0,0,0,0,0
14.138,0,0,0,0,0,0,0,0,0
16.134,0,0,0,0,0,0,0,0,0
18.292,0,0,0,0,0,0,0,0,0
20.609,0,0,0,0,0,0,0,0,0
23.088,0,0,0,0,0,0,0,0,0
25.728,0,0,0,0,0,0,0,0,0
28.526,0,0,0,0,0,0,0,0,0
31.484,0,0,0,0,0,0,0,0,0
34.602,0,0,0,0,0,0,0,0,0
37.876,0,0,0,0,0,0,0,0,0
41.31,0,0,0,0,0,0,0,0,0
44.902,0,0,0,0,0,0,0,0,0
48.642,0,0,0,0,0,0,0,0,0
52.516,0,0,0,0,0,0,0,0,0
56.498,0,0,0,0,0,0,0,0,0
60.558,0,0,0,0,0,0,0,0,0
64.682,0,0,0,0,0,0,0,0,0
68.867,0,0,0,0,0,0,0,0,0
73.112,0,0,0,0,0,0,0,0,0
77.429,0,0,0,0,0,0,0,0,0
81.829,0,0,0,0,0,0,0,0,0
86.331,0,0,0,0,0,0,0,0,0
90.961,0,0,0,0,0,0,0,0,0
95.737,0,0,0,0,0,0,0,0,0
100.667,0,0,0,0,0,0,0,0,0
105.756,0,0,0,0,0,0,0,0,0
110.999,0,0,0,0,0,0,0,0,0
116.393,0,0,0,0,0,0,0,0,0
121.953,0,0,0,0,0,0,0,0,0
127.7,0,0,0,0,0,0,0,0,0
133.659,0,0,0,0,0,0,0,0,0
139.865,0,0,0,0,0,0,0,0,0
146.324,0,0,0,0,0,0,0,0,0
153.036,0,0,0,0,0,0,0,0,0
160.001,0,0,0,0,0,0,0,0,0
167.201,0,0,0,0,0,0,0,0,0
174.617,0,0,0,0,0,0,0,0,0
182.216,0,0,0,0,0,0,0,0,0
189.951,0,0,0,0,0,0,0,0,0
197.79,0,0,0,0,0,0,0,0,0
205.72,0,0,0,0,0,0,0,0,0
213.743,0,0,0,0,0,0,0,0,0
221.857,0,0,0,0,0,0,0,0,0
230.052,0,0,0,0,0,0,0,0,0
238.295,0,0,0,0,0,0,0,0,0
246.544,0,0,0,0,0,0,0,0,0
254.755,0,0,0,0,0,0,0,0,0
262.876,0,0,0,0,0,0,0,0,0
270.866,0,0,0,0,0,0,0,0,0
278.683,0,0,0,0,0,0,0,0,0
286.271,0,0,0,0,0,0,0,0,0
293.587,0,0,0,0,0,0,0,0,0
300.59,0,0,0,0,0,0,0,0,0
307.25,0,0,0,0,0,0,0,0,0
313.54,0,0,0,0,0,0,0,0,0
319.415,0,0,0,0,0,0,0,0,0
324.799,0,0,0,0,0,0,0,0,0
329.605,0,0,0,0,0,0,0,0,0
333.76,0,0,0,0,0,0,0,0,0
337.205,0,0,0,0,0,0,0,0,0
339.909,0,0,0,0,0,0,0,0,0
341.85,0,0,0,0,0,0,0,0,0
343.004,0,0,0,0,0,0,0,0,0
343.361,0,0,0,0,0,0,0,1,0
342.92,0,0,0,0,0,0,0,0,0
341.695,0,0,0,0,0,0,0,0,0
339.719,0,0,0,0,0,0,0,0,0
337.023,0,0,0,0,0,0,0,0,0
333.632,0,0,0,0,0,0,0,0,0
329.573,0,0,0,0,0,0,0,0,0
324.88,0,0,0,0,0,0,0,0,0
319.608,0,0,0,0,0,0,0,0,0
313.838,0,0,0,0,0,0,0,0,0
307.656,0,0,0,0,0,0,0,0,0
301.134,0,0,0,0,0,0,0,0,0
294.327,0,0,0,0,0,0,0,0,0
287.267,0,0,0,0,0,0,0,0,0
279.984,0,0,0,0,0,0,0,0,0
272.507,0,0,0,0,0,0,0,0,0
264.856,0,0,0,0,0,0,0,0,0
257.036,0,0,0,0,0,0,0,0,0
249.041,0,0,0,0,0,0,0,0,0
240.85,0,0,0,0,0,0,0,0,0
232.45,0,0,0,0,0,0,0,0,0
223.843,0,0,0,0,0,0,0,0,0
215.029,0,0,0,0,0,0,0,0,0
206.007,0,0,0,0,0,0,0,0,0
196.771,0,0,0,0,0,0,0,0,0
187.305,0,0,0,0,0,0,0,0,0
177.601,0,0,0,0,0,0,0,0,0
167.669,0,0,0,0,0,0,0,0,0
157.538,0,0,0,0,0,0,0,0,0
147.252,0,0,0,0,0,0,0,0,0
136.866,0,0,0,0,0,0,0,0,0
126.443,0,0,0,0,0,0,0,0,0
116.047,0,0,0,0,0,0,0,0,0
105.753,0,0,0,0,0,0,0,0,0
95.641,0,0,0,0,0,0,0,0,0
85.799,0,0,0,0,0,0,0,0,0
76.299,0,0,0,0,0,0,0,0,0
67.204,0,0,0,0,0,0,0,0,0
58.567,0,0,0,0,0,0,0,0,0
50.432,0,0,0,0,0,0,0,0,0
42.838,0,0,0,0,0,0,0,0,0
35.819,0,0,0,0,0,0,0,0,0
29.396,0,0,0,0,0,0,0,0,0
23.575,0,0,0,0,0,0,0,0,0
18.343,0,0,0,0,0,0,0,0,0
13.676,0,0,0,0,0,0,0,0,0
9.532,0,0,0,0,0,0,0,0,0
5.863,0,0,0,0,0,0,0,0,0
2.618,0,0,0,0,0,0,0,0,0
-0.254,0,0,0,0,0,0,0,0,0
-2.807,0,0,0,0,0,0,0,0,0
-5.096,0,0,0,0,0,0,0,0,0
-7.171,0,0,0,0,0,0,0,0,0
-9.074,0,0,0,0,0,0,0,0,0
-10.837,0,0,0,0,0,0,0,0,0
-12.485,0,0,0,0,0,0,0,0,0
-14.038,0,0,0,0,0,0,0,0,0
-15.513,0,0,0,0,0,0,0,0,0
-16.919,0,0,0,0,0,0,0,0,0
-18.263,0,0,0,0,0,0,0,0,0
-19.538,0,0,0,0,0,0,0,0,0
-20.732,0,0,0,0,0,0,0,0,0
-21.828,0,0,0,0,0,0,0,0,0
-22.799,0,0,0,0,0,0,0,0,0
-23.626,0,0,0,0,0,0,0,0,0
-24.295,0,0,0,0,0,0,0,0,0
-24.796,0,0,0,0,0,0,0,0,0
-25.116,0,0,0,0,0,0,0,0,0
-25.251,0,0,0,0,0,0,0,0,1
-25.199,0,0,0,0,0,0,0,0,0
-24.965,0,0,0,0,0,0,0,0,0
-24.562,0,0,0,0,0,0,0,0,0
-24.002,0,0,0,0,0,0,0,0,0
-23.299,0,0,0,0,0,0,0,0,0
-22.466,0,0,0,0,0,0,0,0,0
-21.519,0,0,0,0,0,0,0,0,0
-20.478,0,0,0,0,0,0,0,0,0
-19.365,0,0,0,0,0,0,0,0,0
-18.205,0,0,0,0,0,0,0,0,0
-17.022,0,0,0,0,0,0,0,0,0
-15.839,0,0,0,0,0,0,0,0,0
-14.674,0,0,0,0,0,0,0,0,0
-13.541,0,0,0,0,0,0,0,0,0
-12.454,0,0,0,0,0,0,0,0,0
-11.424,0,0,0,0,0,0,0,0,0
-10.461,0,0,0,0,0,0,0,0,0
-9.568,0,0,0,0,0,0,0,0,0
-8.749,0,0,0,0,0,0,0,0,0
-8.005,0,0,0,0,0,0,0,0,0
-7.34,0,0,0,0,0,0,0,0,0
-6.756,0,0,0,0,0,0,0,0,0
-6.258,0,0,0,0,0,0,0,0,0
-5.844,0,0,0,0,0,0,0,0,0
-5.516,0,0,0,0,0,0,0,0,0
-5.271,0,0,0,0,0,0,0,0,0
-5.108,0,0,0,0,0,0,0,0,0
-5.026,0,0,0,0,0,0,0,0,0
-5.022,0,0,0,0,0,0,0,0,0
-5.094,0,0,0,0,0,0,0,0,0
-5.24,0,0,0,0,0,0,0,0,0
-5.458,0,0,0,0,0,0,0,0,0
-5.746,0,0,0,0,0,0,0,0,0
-6.101,0,0,0,0,0,0,0,0,0
-6.52,0,0,0,0,0,0,0,0,0
-7.002,0,0,0,0,0,0,0,0,0
-7.541,0,0,0,0,0,0,0,0,0
-8.133,0,0,0,0,0,0,0,0,0
-8.772,0,0,0,0,0,0,0,0,0
-9.452,0,0,0,0,0,0,0,0,0
-10.17,0,0,0,0,0,0,0,0,0
-10.917,0,0,0,0,0,0,0,0,0
-11.689,0,0,0,0,0,0,0,0,0
-12.48,0,0,0,0,0,0,0,0,0
-13.285,0,0,0,0,0,0,0,0,0
-14.098,0,0,0,0,0,0,0,0,0
-14.916,0,0,0,0,0,0,0,0,0
-15.735,0,0,0,0,0,0,0,0,0
-16.549,0,0,0,0,0,0,0,0,0
-17.355,0,0,0,0,0,0,0,0,0
-18.149,0,0,0,0,0,0,0,0,0
-18.929,0,0,0,0,0,0,0,0,0
-19.69,0,0,0,0,0,0,0,0,0
-20.431,0,0,0,0,0,0,0,0,0
-21.147,0,0,0,0,0,0,0,0,0
-21.838,0,0,0,0,0,0,0,0,0
-22.5,0,0,0,0,0,0,0,0,0
-23.133,0,0,0,0,0,0,0,0,0
-23.734,0,0,0,0,0,0,0,0,0
-24.304,0,0,0,0,0,0,0,0,0
-24.84,0,0,0,0,0,0,0,0,0
-25.343,0,0,0,0,0,0,0,0,0
-25.812,0,0,0,0,0,0,0,0,0
-26.247,0,0,0,0,0,0,0,0,0
-26.648,0,0,0,0,0,0,0,0,0
-27.015,0,0,0,0,0,0,0,0,0
-27.349,0,0,0,0,0,0,0,0,0
-27.652,0,0,0,0,0,0,0,0,0
-27.924,0,0,0,0,0,0,0,0,0
-28.168,0,0,0,0,0,0,0,0,0
